epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0001,0.5,0.7402273011115275,0.45556805399325084,0.7859717216523426,0.726928346900943,0.5768056968463886,0.8325543038264014,0.5907811524314064,0.45556805399325084,0.9211520784393831,0.7564500342766428,9019,3388,772,2835,0.7819784601053019,0.5,0.7684236822383212,0.49666221628838453,0.8113413304252999,0.7556707712248866,0.6161490683229813,0.864129416911496,0.6613420760960846,0.49666221628838453,0.930938123752495,0.7835060508250933,2332,754,173,744,0.7302788821959418
2,0.0001,0.5,0.7734482327963033,0.49823559065703243,0.8220127529803161,0.7593294108164745,0.6204226825695752,0.8755108397383101,0.6800883713268144,0.49823559065703243,0.9362019278545165,0.7906710818983953,9421,2986,642,2965,0.6843030132856711,0.5,0.7876592555583313,0.5237084217975938,0.806979280261723,0.7819183408943616,0.6351931330472103,0.8746638528663235,0.6788715133785714,0.5237084217975938,0.9316602316602317,0.7944488105780423,2413,673,177,740,0.6908466766960407
3,0.0001,0.5,0.7884975646309479,0.5192039106145251,0.8245079013030219,0.7780285322801644,0.6371719335832887,0.8845728829086686,0.7018763078749056,0.5192039106145251,0.9384600427765896,0.8012682167915932,9653,2754,633,2974,0.6606751960792151,0.5,0.7899075693230078,0.5270655270655271,0.806979280261723,0.7848347375243033,0.6376561826798793,0.8774546249958478,0.685645929415041,0.5270655270655271,0.9318968834166987,0.7959070088930131,2422,664,177,740,0.6845385321461794
4,0.0001,0.5,0.8012364181341326,0.536998254799302,0.8530634876628778,0.7861690980897881,0.6590982114169434,0.9008044413787624,0.7320744946612323,0.536998254799302,0.9484636328276935,0.8196162928763329,9754,2653,530,3077,0.6113773525036631,0.5,0.753185111166625,0.4785757392878696,0.8647764449291166,0.7200259235255995,0.6161616161616161,0.8700448997159579,0.6603957185704814,0.4785757392878696,0.9471440750213129,0.7924011842273581,2222,864,124,793,0.700914187518293
5,0.0001,0.5,0.8074185088047958,0.546455853615207,0.8527862489603548,0.7942290642379302,0.6660892161108705,0.9090365448965254,0.7509825929062975,0.546455853615207,0.9488685604236881,0.8235076565991425,9854,2553,531,3076,0.585636828311064,0.5,0.7956532600549587,0.5369678864824496,0.7840785169029444,0.7990926766040182,0.6374113475177305,0.877980975750761,0.6889972445011414,0.5369678864824496,0.9256756756756757,0.7915855967534813,2466,620,198,719,0.729574361585719
6,0.0001,0.5,0.8219682777569627,0.5686773255813954,0.86775713889659,0.8086564036431046,0.6870815497749972,0.920902873072918,0.7805374336840607,0.5686773255813954,0.9546146527117031,0.8382067712698473,10033,2374,477,3130,0.5488643428612935,0.5,0.8196352735448413,0.5910364145658263,0.6902944383860414,0.8580686973428386,0.6368209255533199,0.8750405496805145,0.6908100431800965,0.5910364145658263,0.903137789904502,0.77418156786444,2648,438,284,633,0.7492337196045389
7,0.0001,0.5,0.8364556013488198,0.5923709798055348,0.8782922095924591,0.8242927379705005,0.7075376884422111,0.9324042458927411,0.8101590808992665,0.5923709798055348,0.9588411775735983,0.8512924737814798,10227,2180,439,3168,0.5071558215294466,0.5,0.7087184611541344,0.43409211222869243,0.8942202835332607,0.653596889176928,0.5844618674269423,0.8539448213375775,0.6237016756477879,0.43409211222869243,0.9541154210028382,0.7739085863550943,2017,1069,97,820,0.7534540496466906
8,5e-05,0.5,0.8583739228175347,0.6307361843389963,0.8954810091488772,0.8475860401386314,0.7401466544454629,0.9439026802996215,0.8351458643226437,0.6307361843389963,0.9653906178279629,0.8715335246437543,10516,1891,377,3230,0.46733925244893654,0.5,0.7824131901074194,0.5167638483965015,0.7731733914940022,0.7851587815942969,0.6194844910441241,0.8704035744499202,0.6677295720628226,0.5167638483965015,0.9209426073736222,0.7791660865441495,2423,663,208,709,0.7721641153030148
9,5e-05,0.5,0.8965904833270888,0.7061931938279433,0.926254505128916,0.8879664705408238,0.8013912209162869,0.9694388965296316,0.9057402157780712,0.7061931938279433,0.9764247097403173,0.9071104878348699,11017,1390,266,3341,0.3462201624055383,0.5,0.8073944541593805,0.5622866894197952,0.7186477644492911,0.8337653920933247,0.6309238870272857,0.8683031186679774,0.6478793253091962,0.5622866894197952,0.908866125044154,0.7762065782713079,2573,513,258,659,0.939802979681452
10,5e-05,0.5,0.9177594604720869,0.7553523639607493,0.9390074854449681,0.9115821713548803,0.8372265480163145,0.9791476698642334,0.9363984103296378,0.7553523639607493,0.9809193408499567,0.9252948283999243,11310,1097,220,3387,0.285393217306124,0.5,0.8048963277541844,0.5598591549295775,0.693565976008724,0.8379779650032404,0.6195811008280565,0.8616607452942935,0.6387363149418064,0.5598591549295775,0.9019881409138473,0.7657719705059822,2586,500,281,636,1.047706157840135
