epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7355438990882978,0.4493711705901322,0.7726642639312448,0.7247521560409447,0.5682536446120909,0.8318888147445496,0.6000037704305459,0.4493711705901322,0.9164288626172035,0.7487082099860947,8992,3415,820,2787,0.7837930565784379,0.5,0.5795653260054959,0.33839662447257385,0.8745910577971646,0.49189889825016203,0.48798296318831763,0.7730573080948823,0.4871512668838194,0.33839662447257385,0.9295774647887324,0.6832449780236634,1518,1568,115,802,0.9733646213487182
2,0.0008,0.5,0.7658298988385163,0.48812883944877966,0.8150817854172443,0.7515112436527767,0.6105919003115264,0.8670003243873816,0.6599434157171657,0.48812883944877966,0.9332399159243319,0.7832965145350105,9324,3083,667,2940,0.7033939512165742,0.5,0.25805645765675744,0.23577863577863578,0.9989094874591058,0.03791315618924174,0.38150770512286547,0.8334924105839792,0.5975484311112986,0.23577863577863578,0.9915254237288136,0.5184113218241737,117,2969,1,916,1.4669105159977274
3,0.0008,0.5,0.7687648307730736,0.49226804123711343,0.8472414749098974,0.7459498670105585,0.6227203260315843,0.8813944809543804,0.6928449842048728,0.49226804123711343,0.9438099122985927,0.796595670960228,9255,3152,551,3056,0.6663958208084821,0.5,0.7891581314014489,0.6527196652719666,0.17011995637949837,0.9731043421905379,0.2698961937716263,0.8102688399646344,0.5397798027759976,0.6527196652719666,0.7978214665249734,0.5716121492850181,3003,83,761,156,1.0190221753353899
4,0.0008,0.5,0.7856250780567003,0.5147758152173914,0.8403105073468257,0.7697267671475779,0.6384412848867825,0.8882065154156404,0.7037778292932587,0.5147758152173914,0.9431167292119297,0.8050186372472018,9550,2857,576,3031,0.6495173017794353,0.5,0.5748188858356232,0.3050173869846001,0.6695747001090513,0.5466623460790667,0.41911262798634813,0.6331255729077956,0.29692060281461247,0.3050173869846001,0.8477386934673367,0.608118523094059,1687,1399,303,614,1.045063196213103
5,0.0004,0.5,0.7946172099413014,0.5273008241758241,0.8514000554477406,0.7781091319416459,0.6512564945392854,0.8941369701306859,0.7111534191664184,0.5273008241758241,0.9473994111874386,0.8147545936946932,9654,2753,536,3071,0.6316780467761118,0.5,0.76917312015988,0.4588235294117647,0.04252998909487459,0.9850939727802981,0.07784431137724551,0.6887286376508819,0.36452512709151375,0.4588235294117647,0.7759060745278203,0.5138119809375863,3040,46,878,39,1.059756191959686
6,0.0004,0.5,0.8102285500187336,0.5504440497335702,0.8591627391183809,0.7960022567905215,0.6709970769730432,0.9090656497091341,0.7467177528870254,0.5504440497335702,0.9510785824345146,0.8275824979544513,9876,2531,508,3099,0.5856425975449034,0.5,0.7791656257806645,0.8666666666666667,0.04252998909487459,0.9980557355800389,0.08108108108108109,0.8359248613536632,0.5982612026721055,0.8666666666666667,0.7781707933299646,0.5202928623374568,3080,6,878,39,1.576362062060413
7,0.0004,0.5,0.8205320344698389,0.565669234904139,0.8752425838647075,0.8046264205690337,0.6872006965607314,0.9193890429463911,0.7712724886735226,0.565669234904139,0.9568676315537238,0.8399345022168706,9983,2424,450,3157,0.5507689001736784,0.5,0.8196352735448413,0.6267880364109233,0.5256270447110142,0.90699935191186,0.571767497034401,0.8506036690128352,0.6324015025422557,0.6267880364109233,0.865491651205937,0.716313198311437,2799,287,435,482,0.8458254138529375
8,0.0004,0.5,0.828087923067316,0.5765232974910395,0.8918769060160798,0.8095429999194004,0.700337433329705,0.9280795388832364,0.7884514943917245,0.5765232974910395,0.9626221966647499,0.8507099529677401,10044,2363,390,3217,0.5222137873205812,0.5,0.7946540094928803,0.7987421383647799,0.13849509269356597,0.9896305897602073,0.23605947955390336,0.8292210008827284,0.6092940698235086,0.7987421383647799,0.7944849115504683,0.5640628412268867,3054,32,790,127,1.3209715933017125
9,0.0004,0.5,0.831335081803422,0.5813869924541861,0.8971444413640144,0.8122027887482872,0.7055488934917693,0.93339803279175,0.7979640060005029,0.5813869924541861,0.9644908116385911,0.8546736150561508,10077,2330,371,3236,0.4998921612734739,0.5,0.7976517611791156,0.5595105672969967,0.5485278080697928,0.8716785482825664,0.5539647577092511,0.8216570277985288,0.5763602834094026,0.5595105672969967,0.8666237113402062,0.7101031781761796,2690,396,414,503,0.8724291775335588
10,0.0002,0.5,0.8543149743974022,0.6220306513409962,0.900194067091766,0.8409768678971549,0.7356972923983234,0.9438587381775525,0.8301086303073365,0.6220306513409962,0.9666481378543635,0.8705854674944604,10434,1973,360,3247,0.46129914286342977,0.5,0.8116412690482139,0.6489945155393053,0.3871319520174482,0.9377835385612443,0.4849726775956284,0.8309853978745254,0.5731057949008598,0.6489945155393053,0.8373842592592593,0.6624577452893463,2894,192,562,355,0.985697879631639
