epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.743786686649182,0.45997417688831505,0.7901303021901858,0.7303135326831627,0.5814546567377333,0.8384884678688119,0.5907333220347527,0.45997417688831505,0.9228967203096353,0.7602219174366742,9061,3346,757,2850,0.7733407434458975,0.5,0.7816637521858606,0.5162019593067069,0.7470010905125409,0.7919637070641607,0.6105169340463458,0.8587464689090846,0.6495679531109331,0.5162019593067069,0.9133034379671151,0.7694823987883508,2444,642,232,685,0.7562846497925942
2,0.0008,0.5,0.7680154864493568,0.49108322324966974,0.8245079013030219,0.7515918433142581,0.6155438269688502,0.8710408321192176,0.675122392247141,0.49108322324966974,0.9364330186784495,0.78804987230864,9325,3082,633,2974,0.6963728628191919,0.5,0.5413439920059955,0.33000369959304476,0.9727371864776445,0.41315618924173686,0.49281767955801103,0.8618317783694045,0.6588339480453117,0.33000369959304476,0.9807692307692307,0.6929466878596907,1275,1811,25,892,0.8543151159480664
3,0.0008,0.5,0.7781940801798426,0.5045886868012681,0.8383698364291655,0.7606996050616588,0.63,0.8832125541335549,0.698253249568216,0.5045886868012681,0.9418221734357849,0.7995347207454122,9438,2969,583,3024,0.6605571959071411,0.5,0.7172120909318012,0.44116037219485493,0.8789531079607416,0.669151004536617,0.5874635568513119,0.867651143412647,0.6746952090840671,0.44116037219485493,0.9489889705882353,0.7740520562486792,2065,1021,111,806,0.7215426683634363
4,0.0008,0.5,0.7921818408892219,0.5237608584568216,0.852509010257832,0.7746433464979448,0.6488710698459591,0.8922706533504198,0.7089742893735042,0.5237608584568216,0.9475500345065563,0.8135761783778883,9611,2796,532,3075,0.6391225692647308,0.5,0.810891831126655,0.5732600732600732,0.6826608505997819,0.8489954633830201,0.6231956197112991,0.867580821962343,0.666154336653825,0.5732600732600732,0.9000343524562007,0.7658281569914009,2620,466,291,626,0.8746768906507795
5,0.0008,0.5,0.7944298738603722,0.526918475474278,0.854726919878015,0.7769001370194245,0.651934869951364,0.8999302132512412,0.7280212987473915,0.526918475474278,0.9484404211354915,0.8158135284487198,9639,2768,524,3083,0.6154317807039101,0.5,0.7626779915063702,0.48956356736242884,0.8440567066521265,0.73849643551523,0.6196957566052842,0.8745712688463254,0.6822699097982986,0.48956356736242884,0.9409578860445913,0.7912765710836782,2279,807,143,774,0.702286495585874
6,0.0008,0.5,0.8014861995753716,0.5369475138121547,0.8622123648461325,0.7838317079068268,0.661772528992446,0.9059248102807539,0.7431966355836583,0.5369475138121547,0.9513793778125611,0.8230220363764796,9725,2682,497,3110,0.596113916430206,0.5,0.7891581314014489,0.527714502657555,0.7579062159214831,0.7984445884640311,0.622202327663384,0.8678394918197423,0.6752221675606069,0.527714502657555,0.91734921816828,0.7781754021927572,2464,622,222,695,0.8319901097216905
7,0.0008,0.5,0.8065442737604596,0.5444696837323082,0.8638757970612697,0.7898766825179334,0.6679528403001072,0.9084522141097942,0.7493691012554227,0.5444696837323082,0.9522884073462249,0.8268762397896016,9800,2607,491,3116,0.5898259395559703,0.5,0.8271296527604297,0.6170655567117586,0.6466739367502726,0.8807517822423849,0.6315228966986155,0.8713919618695187,0.6887838268026105,0.6170655567117586,0.893491124260355,0.7637128594963287,2718,368,324,593,0.8916431234057415
8,0.0004,0.5,0.8160359685275385,0.5589652096342551,0.8685888550041586,0.8007576368179253,0.6801997394702561,0.9155835300412725,0.7556480977871215,0.5589652096342551,0.9544624843885099,0.834673245911042,9935,2472,474,3133,0.5644151977910908,0.5,0.8238820884336747,0.6106471816283925,0.6379498364231189,0.8791315618924174,0.624,0.8665238799630512,0.6632255117832255,0.6106471816283925,0.8909688013136289,0.7585406991577681,2713,373,332,585,0.8465182452001722
9,0.0004,0.5,0.8305857374797052,0.5815991237677984,0.8832825062378709,0.8152655758845813,0.7013758943313153,0.9278678055612604,0.7932154390654225,0.5815991237677984,0.960041761579347,0.8492740410612261,10115,2292,421,3186,0.5245364856836098,0.5,0.7631776167874095,0.4884758364312268,0.7164667393675027,0.7770576798444588,0.5809018567639257,0.8347364641809388,0.6062312968847332,0.4884758364312268,0.9021820917983446,0.7467622096059807,2398,688,260,657,0.8059757229181758
10,0.0004,0.5,0.8521918321468714,0.6164537941397445,0.9098974216800665,0.8354154912549367,0.7349680886798791,0.9433323041812007,0.8278396789154765,0.6164537941397445,0.9695977549111319,0.8726564564675017,10365,2042,325,3282,0.4632353228294136,0.5,0.7506869847614289,0.4747663551401869,0.8309705561613958,0.7268308489954634,0.6042823156225218,0.8648556007324739,0.6683718070871262,0.4747663551401869,0.9353628023352794,0.7789007025784296,2243,843,155,762,0.8374545080138242
