epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7465967278631198,0.46305095854497785,0.7834765733296368,0.7358749093253808,0.5820803295571576,0.8381895094903923,0.5957654277004766,0.46305095854497785,0.9211986681465039,0.7596757413275088,9130,3277,781,2826,0.7733841110767609,0.5,0.5131151636272795,0.3162393162393162,0.9683751363140676,0.3778353856124433,0.4767785234899329,0.8488519934894352,0.6402563346191738,0.3162393162393162,0.9757322175732217,0.6731052609632554,1166,1920,29,888,0.9340243983977502
2,0.0008,0.5,0.7673910328462595,0.4902350215160543,0.8211810368727475,0.7517530426372209,0.6139496320862265,0.8689436767465105,0.6662629518278318,0.4902350215160543,0.9353188929001204,0.7864670397549842,9327,3080,645,2962,0.7031108424266626,0.5,0.7087184611541344,0.43423137876386686,0.8964013086150491,0.652948801036941,0.5850533807829181,0.8622766763891667,0.6615079320577157,0.43423137876386686,0.9549763033175356,0.7746750548259951,2015,1071,95,822,0.7331422021202585
3,0.0008,0.5,0.773510678156613,0.49836387434554974,0.8444690878846687,0.7528814378979608,0.6268134581747093,0.883510182963913,0.6954488309207927,0.49836387434554974,0.9433447788325591,0.7986752628913147,9341,3066,561,3046,0.661267586581877,0.5,0.6959780164876342,0.422680412371134,0.8942202835332607,0.6370706416072586,0.5740287014350718,0.8728079319768951,0.6828632643743898,0.422680412371134,0.9529810954920019,0.7656454625702596,1966,1120,97,820,0.7418654242248021
4,0.0008,0.5,0.7896840264768328,0.5202645412921825,0.8505683393401718,0.7719835576690578,0.6456228956228957,0.8931368148081891,0.7075614259795432,0.5202645412921825,0.9467233369575961,0.8112759485046148,9578,2829,539,3068,0.6344183286477731,0.5,0.7776667499375468,0.5093815149409312,0.7993456924754635,0.7712248865845756,0.6222410865874364,0.8754536440292847,0.6799048625775147,0.5093815149409312,0.9282371294851794,0.7852852895300195,2380,706,184,733,0.7433002488838861
5,0.0008,0.5,0.7995503934057699,0.5343128781331028,0.856944829498198,0.7828645119690497,0.6582197614991482,0.9008826612609402,0.7306759701118225,0.5343128781331028,0.9495551862352136,0.8199046707336238,9713,2694,516,3091,0.6116807076298849,0.5,0.7811641269048214,0.5142065142065142,0.8091603053435115,0.7728451069345431,0.6288135593220339,0.8759522549156108,0.6881561808548213,0.5142065142065142,0.931640625,0.7910027061390272,2385,701,175,742,0.7553617219581862
6,0.0008,0.5,0.7982390408392657,0.5321147933037239,0.8635985583587469,0.7792375272023857,0.6584927597505549,0.904568827675354,0.7342844788210858,0.5321147933037239,0.9515748031496063,0.8214180427805663,9668,2739,492,3115,0.5992385534009222,0.5,0.7461903572320759,0.4703770197486535,0.8571428571428571,0.7132209980557356,0.60741885625966,0.874545825909532,0.6838680716782084,0.4703770197486535,0.9438250428816467,0.7851819275992964,2201,885,131,786,0.7115797718971514
7,0.0008,0.5,0.8088547520919196,0.5470203238029625,0.8805101192126421,0.7880228903038607,0.6748114309996813,0.9110837137311858,0.7502094735799458,0.5470203238029625,0.9577782131661442,0.8342665047582514,9777,2630,431,3176,0.5791285581857922,0.5,0.8353734698975768,0.6747967479674797,0.5430752453653217,0.9222294232015554,0.6018126888217523,0.8689395454619341,0.6754469298681155,0.6747967479674797,0.8716692189892803,0.7326523342834386,2846,240,419,498,1.1473641334073175
8,0.0004,0.5,0.8169726489321844,0.559444249032712,0.8818963127252565,0.7980978479890385,0.6846013128160982,0.9164536242798627,0.7557785835972811,0.559444249032712,0.9587529047250194,0.8399970803571475,9902,2505,426,3181,0.56160486441241,0.5,0.8368723457406945,0.7142857142857143,0.4798255179934569,0.9429682436811406,0.5740378343118069,0.8635069483953635,0.6664565984816387,0.7142857142857143,0.8591674047829938,0.7113968808372988,2910,176,477,440,1.8169561342808296
9,0.0004,0.5,0.8337080054951918,0.5872781065088757,0.8805101192126421,0.8201015555734666,0.7046034387132557,0.9279313892420881,0.7880645207725476,0.5872781065088757,0.9593626249292853,0.8503058373930543,10175,2232,431,3176,0.5231176391439342,0.5,0.7796652510617037,0.5123674911660777,0.7906215921483097,0.7764095917044718,0.6217838765008576,0.8676741127305856,0.6669994537824415,0.5123674911660777,0.9258114374034003,0.7835155919263908,2396,690,192,725,0.7254418463907092
10,0.0004,0.5,0.8485700012489072,0.6098513011152417,0.9096201829775437,0.8308213105504957,0.7301657950372761,0.943551813683436,0.8266015371788176,0.6098513011152417,0.9693436148203874,0.8702207467640197,10308,2099,326,3281,0.46181543652478624,0.5,0.7866600049962528,0.5228758169934641,0.7851690294438386,0.787103046014258,0.6277244986922407,0.8717439224951605,0.676607012480279,0.5228758169934641,0.924980959634425,0.7861360377290483,2429,657,197,720,0.7767915641728443
