epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7448482577744474,0.4612772837510105,0.7909620182977544,0.7314419279439026,0.5827205882352942,0.8389530164305996,0.6098311180764042,0.4612772837510105,0.9232882287109574,0.7612019731208285,9075,3332,754,2853,0.7722290341321398,0.5,0.7087378640776699,0.4410828025477707,0.8765822784810127,0.656891495601173,0.586864406779661,0.8599644876696735,0.6485125932043928,0.4410828025477707,0.9451476793248945,0.7667368870410929,672,351,39,277,0.7473539652621417
2,0.0008,0.5,0.7836892718870988,0.5125636970655421,0.8087052952592182,0.776416539050536,0.6274467627446763,0.8752261935537298,0.6862346980454583,0.5125636970655421,0.9331589654170299,0.7925609171548771,9633,2774,690,2917,0.6849242804707608,0.5,0.8297236743838685,0.7095238095238096,0.47151898734177217,0.9403714565004888,0.5665399239543726,0.8501985968298749,0.6385759674726426,0.7095238095238096,0.8520814880425155,0.7059452219211305,962,61,167,149,1.0386829177686936
3,0.0008,0.5,0.7887473460721869,0.5198440822111977,0.813418353202107,0.781574917385347,0.6343098043454761,0.884006573643142,0.6985145273855186,0.5198440822111977,0.9351012536162006,0.7974966352937269,9697,2710,673,2934,0.6615888685401168,0.5,0.7356235997012696,0.4674657534246575,0.8639240506329114,0.6959921798631477,0.6066666666666667,0.8675804595567764,0.6700327494369536,0.4674657534246575,0.9430463576158941,0.7799581152480295,712,311,43,273,0.7309538009809504
4,0.0008,0.5,0.7996128387660797,0.5351341807909604,0.8403105073468257,0.7877810913194164,0.6538668967748894,0.8975438085527659,0.7252864604993067,0.5351341807909604,0.9443478260869566,0.814045799333121,9774,2633,576,3031,0.6225119580694899,0.5,0.7729648991784914,0.5126582278481012,0.7689873417721519,0.7741935483870968,0.6151898734177215,0.8580311073165299,0.6528981844731848,0.5126582278481012,0.915606936416185,0.7715904450796243,792,231,73,243,0.7428892634536367
5,0.0008,0.5,0.8048582490320969,0.5432364549695012,0.839478791239257,0.7947932618683001,0.6596231347347783,0.904093050577416,0.7445657225404506,0.5432364549695012,0.9445402298850575,0.8171360265537786,9861,2546,579,3028,0.6027486239745701,0.5,0.80134428678118,0.5612745098039216,0.7246835443037974,0.8250244379276638,0.6325966850828729,0.8673113330116188,0.6724896305209352,0.5612745098039216,0.9065520945220193,0.7748539911157306,844,179,87,229,0.7806432313933312
6,0.0008,0.5,0.8064193830398402,0.5446853516657852,0.8566675907956751,0.7918110743934875,0.665948275862069,0.9067454542695912,0.7406271658238871,0.5446853516657852,0.9500048351223286,0.8242393325945814,9824,2583,517,3090,0.594374466012357,0.5,0.8080657206870799,0.5728395061728395,0.7341772151898734,0.83088954056696,0.6435506241331485,0.870874939678533,0.6713396370592221,0.5728395061728395,0.9100642398286938,0.7825333778784167,850,173,84,232,0.7450774294658772
7,0.0008,0.5,0.8242787560884226,0.5729262460915946,0.8635985583587469,0.8128475860401386,0.6888544891640866,0.915406566077008,0.7592740317090123,0.5729262460915946,0.9534839746620024,0.8382230721994428,10085,2322,492,3115,0.5653783626527811,0.5,0.8058252427184466,0.5979020979020979,0.5411392405063291,0.8875855327468231,0.5681063122923588,0.8467896605912122,0.6456316286444359,0.5979020979020979,0.862298195631529,0.714362386626576,908,115,145,171,0.9367777847193176
8,0.0008,0.5,0.8285874859497939,0.5800520059435365,0.8658164679789299,0.8177641653905053,0.6946946946946947,0.9206285504379923,0.7726839678887203,0.5800520059435365,0.9544684854186265,0.8417903166847176,10146,2261,484,3123,0.5493061844219024,0.5,0.7154592979835698,0.44537815126050423,0.8386075949367089,0.6774193548387096,0.5817782656421515,0.8500779538958387,0.6388691512312655,0.44537815126050423,0.9314516129032258,0.7580134748877092,693,330,51,265,0.7838871406030975
9,0.0004,0.5,0.8372049456725366,0.5940556809631302,0.8755198225672304,0.8260659305230919,0.7078336882214502,0.9312213168161306,0.7998773990947735,0.5940556809631302,0.9580295382314451,0.8507928765451611,10249,2158,449,3158,0.5115671807220102,0.5,0.7565347274085138,0.49038461538461536,0.8069620253164557,0.7409579667644184,0.6100478468899522,0.8587333110607916,0.6469683291672421,0.49038461538461536,0.9255189255189256,0.7739599960404371,758,265,61,255,0.8670864984381991
10,0.0004,0.5,0.8614337454727113,0.6353882169332813,0.9029664541169947,0.8493592326912227,0.7459063323027596,0.9491734222046458,0.8495641999409791,0.6353882169332813,0.9678545187362234,0.8761628434041087,10538,1869,350,3257,0.4410948557987394,0.5,0.8095593726661687,0.5878962536023055,0.6455696202531646,0.8602150537634409,0.6153846153846154,0.8558471608696191,0.6248637803706348,0.5878962536023055,0.8870967741935484,0.7528923370083027,880,143,112,204,1.0276981395425149
11,0.0004,0.5,0.8831647308604971,0.6759221726793676,0.9245910729137787,0.8711211412912065,0.7809390001170823,0.9606752977947446,0.8749347580852787,0.6759221726793676,0.9754512635379061,0.8978561071024926,10808,1599,272,3335,0.38599806705396006,0.5,0.7744585511575803,0.5154867256637168,0.7373417721518988,0.7859237536656891,0.6067708333333334,0.8283189180494203,0.5748631653232941,0.5154867256637168,0.9064261555806088,0.761632762908794,804,219,83,233,0.9259520655162661
