epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7415386536780317,0.4569718537690068,0.783199334627114,0.7294269364068671,0.5771784656246808,0.8379812843876713,0.6056887712316292,0.4569718537690068,0.9204637917005696,0.7563131355169905,9050,3357,782,2825,0.7748560426058626,0.5,0.6878267363704257,0.42319277108433734,0.8892405063291139,0.6256109481915934,0.573469387755102,0.8584533575856566,0.6476746104811312,0.42319277108433734,0.9481481481481482,0.7574257272603536,640,383,35,281,1.0192649888849863
2,0.0008,0.5,0.7736355688772324,0.49850249584026624,0.830607152758525,0.7570726202949948,0.6230633253613393,0.8717440513170692,0.6755339338581501,0.49850249584026624,0.9389244302279088,0.79383988652676,9393,3014,611,2996,0.6947355329789398,0.5,0.666168782673637,0.4089012517385257,0.930379746835443,0.5845552297165201,0.5681159420289855,0.8625443904129082,0.6609782553021042,0.4089012517385257,0.964516129032258,0.7574674882759815,598,425,22,294,0.7596193338793725
3,0.0008,0.5,0.7806918945922318,0.5079365079365079,0.8428056556695315,0.7626339969372129,0.6338615512927439,0.8853352837542702,0.7007375065029066,0.5079365079365079,0.9434639545318576,0.8027198263033721,9462,2945,567,3040,0.6579972644103546,0.5,0.8170276325616131,0.6092307692307692,0.6265822784810127,0.8758553274682307,0.6177847113884556,0.8564101612284543,0.6617251921218511,0.6092307692307692,0.883629191321499,0.7512188029746216,896,127,118,198,0.8658364711633986
4,0.0008,0.5,0.7886849007118771,0.5188376414934955,0.8514000554477406,0.7704521641009108,0.6447617048078942,0.8925781029601572,0.714520979906159,0.5188376414934955,0.946904408122833,0.8109261097743257,9559,2848,536,3071,0.6363792254324186,0.5,0.8117998506348021,0.5893854748603352,0.6677215189873418,0.8563049853372434,0.6261127596439169,0.8670483932835914,0.6595518564167808,0.5893854748603352,0.8929663608562691,0.7620132521622927,876,147,105,211,0.8056350446085684
5,0.0008,0.5,0.7948045460222305,0.5273937532002048,0.8566675907956751,0.7768195373579431,0.6528628776674413,0.8991361043602719,0.7281663598914312,0.5273937532002048,0.9490891186607583,0.816743564076809,9638,2769,517,3090,0.6167623220132326,0.5,0.8170276325616131,0.5936675461741425,0.7120253164556962,0.8494623655913979,0.6474820143884892,0.8754191568605616,0.6955800782186724,0.5936675461741425,0.9052083333333333,0.780743841023547,869,154,91,225,0.7835194037599827
6,0.0008,0.5,0.8002997377294867,0.5351676698194325,0.8627668422511783,0.782139115015717,0.6605816174909785,0.904408008223266,0.7365079826566088,0.5351676698194325,0.9514658299833317,0.8224529786334476,9704,2703,495,3112,0.6021002283015322,0.5,0.748319641523525,0.48134991119005327,0.8575949367088608,0.7145650048875856,0.6166097838452788,0.875465557989037,0.6816529936550133,0.48134991119005327,0.9420103092783505,0.7860799707982231,731,292,45,271,0.6977342536771716
7,0.0008,0.5,0.8008617459722742,0.5359106529209622,0.8647075131688383,0.7823003143386797,0.6617163466638379,0.9091512547280237,0.7470037358687802,0.5359106529209622,0.9521287031587208,0.823503913753759,9706,2701,488,3119,0.585458605696203,0.5,0.830470500373413,0.6377708978328174,0.6518987341772152,0.8856304985337243,0.6447574334898278,0.8681187126470916,0.6771253858365661,0.6377708978328174,0.8917322834645669,0.7687646163554698,906,117,110,206,1.0508121055751882
8,0.0004,0.5,0.8132259273136005,0.5541300527240773,0.874133629054616,0.795518658821633,0.6782833171990965,0.9154890539201903,0.7582227883504133,0.5541300527240773,0.9560247965904688,0.8348261439381245,9870,2537,454,3153,0.5627408501538234,0.5,0.8342046303211351,0.7303921568627451,0.47151898734177217,0.946236559139785,0.573076923076923,0.860425405545863,0.685240120262768,0.7303921568627451,0.852863436123348,0.7088777732407786,968,55,167,149,1.662642199704681
9,0.0004,0.5,0.8325215436493069,0.5841062011274777,0.8904907125034655,0.8156685741919883,0.7054689215901603,0.9301214677343601,0.7958021881215225,0.5841062011274777,0.9624346172135045,0.8530796433477269,10120,2287,395,3212,0.5139289263841051,0.5,0.7976101568334578,0.5555555555555556,0.7120253164556962,0.8240469208211144,0.624133148404993,0.8578640632540183,0.6655321003762401,0.5555555555555556,0.9025695931477516,0.7680361186384053,843,180,91,225,0.8122572316172588
10,0.0004,0.5,0.8554389908829774,0.622117202268431,0.9123925700027724,0.8388812766986379,0.7397999325615376,0.9451968333338212,0.8281520763379921,0.622117202268431,0.9705333830660201,0.8756369233507051,10408,1999,316,3291,0.452730246592628,0.5,0.7998506348020911,0.5540540540540541,0.7784810126582279,0.8064516129032258,0.6473684210526316,0.8714162861774132,0.6774386877473951,0.5540540540540541,0.9217877094972067,0.7924663127807268,825,198,70,246,0.894351777966295
11,0.0002,0.5,0.8669289371799676,0.6463704879016263,0.9035209315220405,0.856290803578625,0.7536131344664123,0.9512765996479848,0.851002345217188,0.6463704879016263,0.968282901932191,0.8799058675503327,10624,1783,348,3259,0.43007655152000707,0.5,0.7587752053771472,0.4927835051546392,0.7563291139240507,0.7595307917888563,0.5967540574282147,0.85437779180123,0.6627650110223964,0.4927835051546392,0.9098360655737705,0.7579299528564535,777,246,77,239,0.8441696954450116
