epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.7164980641938304,0.4287242169595111,0.7779317992791793,0.698637865720964,0.5527974783293932,0.8179950039829462,0.5664413862203471,0.4287242169595111,0.9154081740416095,0.7382848325000717,8668,3739,801,2806,0.8081985743390914,0.5,0.7199402539208365,0.44815465729349735,0.8069620253164557,0.6930596285434996,0.576271186440678,0.841552519890617,0.6217000331624906,0.44815465729349735,0.9207792207792208,0.7500108269299777,709,314,61,255,0.8284235096761234
2,0.0008,0.5,0.7607718246534283,0.48143236074270557,0.8051011921264208,0.7478842588861127,0.6025521319638967,0.8573783627203304,0.6330210811176288,0.48143236074270557,0.9295732318172711,0.7764927255062668,9279,3128,703,2904,0.7279533268182453,0.5,0.7244212098581031,0.4532627865961199,0.8132911392405063,0.696969696969697,0.5821064552661381,0.8423537127089598,0.6407506182716031,0.4532627865961199,0.9235751295336787,0.7551304181051017,713,310,59,257,0.771999171503094
3,0.0008,0.5,0.765892344198826,0.48844024747639203,0.8317161075686166,0.7467558636253728,0.615447738229562,0.8683330566607128,0.6605294663908122,0.48844024747639203,0.9385129659643436,0.7892359855969947,9265,3142,607,3000,0.7001314542632104,0.5,0.743091859596714,0.4734848484848485,0.7911392405063291,0.7282502443792767,0.5924170616113744,0.8546840392491678,0.6505859797008473,0.4734848484848485,0.9186189889025894,0.7596947424428029,745,278,66,250,0.7433739239551667
4,0.0008,0.5,0.768202822530286,0.4914814213856888,0.8397560299417799,0.7474006609172241,0.6200614124872057,0.8764790635619836,0.6742600232438466,0.4914814213856888,0.9413257537305857,0.793578345429502,9273,3134,578,3029,0.6766694195040963,0.5,0.7132188200149365,0.44333333333333336,0.8417721518987342,0.6735092864125122,0.5807860262008734,0.8480393976514842,0.6473330428810118,0.44333333333333336,0.93234100135318,0.7576407191556231,689,334,50,266,0.7592768601021542
5,0.0008,0.5,0.77419757712002,0.49926626447089517,0.8489049071250346,0.7524784395905537,0.628747433264887,0.8826365358153769,0.6804967323304029,0.49926626447089517,0.9448436393077624,0.8006916733577942,9336,3071,545,3062,0.6597078791253648,0.5,0.7079910380881255,0.4409448818897638,0.8860759493670886,0.6529814271749755,0.5888538380651945,0.8496510635138647,0.6220006911895886,0.4409448818897638,0.9488636363636364,0.769528688271032,668,355,36,280,0.7674319823345558
6,0.0008,0.5,0.7803172224303734,0.5072581960528462,0.8622123648461325,0.7565084226646248,0.638734853152598,0.8900229126938971,0.697544900014921,0.5072581960528462,0.9497116260244864,0.8093603937553786,9386,3021,497,3110,0.6410430999854478,0.5,0.731142643764003,0.4623287671232877,0.8544303797468354,0.6930596285434996,0.6,0.8569638813615947,0.6406090379933805,0.4623287671232877,0.9390728476821192,0.7737450041451674,709,314,46,270,0.7294140107334328
7,0.0008,0.5,0.7892469089546646,0.5195483653522076,0.854726919878015,0.7702103651164665,0.6462634943926213,0.8929499742011813,0.7036991474634227,0.5195483653522076,0.948015873015873,0.8124686424972407,9556,2851,524,3083,0.6319854573630596,0.5,0.7326362957430919,0.4631578947368421,0.8354430379746836,0.7008797653958945,0.5959367945823928,0.8419175421012907,0.6035295700259808,0.4631578947368421,0.9323797139141743,0.768161401685289,717,306,52,264,0.812472982848198
8,0.0008,0.5,0.7958036717871863,0.5284388185654009,0.8680343775991128,0.7748045458209075,0.6569450272765421,0.9035640021756322,0.7236174026581482,0.5284388185654009,0.9528199028645059,0.8214194617100101,9613,2794,476,3131,0.6004422719601881,0.5,0.6669156086631814,0.40660919540229884,0.8955696202531646,0.5962854349951124,0.5592885375494071,0.8434920870608907,0.6179047457093616,0.40660919540229884,0.9486780715396579,0.7459275276241385,610,413,33,283,0.8469912494804719
9,0.0004,0.5,0.796990133633071,0.5301797219396406,0.8669254227890213,0.7766583380349803,0.6579694897422409,0.90292882455505,0.7243539534495042,0.5301797219396406,0.9525504151838672,0.8217918804120008,9636,2771,480,3127,0.6021463740209939,0.5,0.6945481702763256,0.4283513097072419,0.879746835443038,0.6373411534701857,0.5761658031088083,0.8435508618236262,0.6223924861026875,0.4283513097072419,0.9449275362318841,0.7585439944566119,652,371,38,278,0.7960612789475268
10,0.0004,0.5,0.81797177469714,0.5608084358523726,0.8846686997504851,0.798581445957927,0.686457997203399,0.921496979948337,0.7676436265295462,0.5608084358523726,0.9597055404881829,0.8416250728542061,9908,2499,416,3191,0.5412289201133897,0.5,0.7961165048543689,0.5523114355231143,0.7183544303797469,0.820136852394917,0.624484181568088,0.8450016704406251,0.6212333011884518,0.5523114355231143,0.9040948275862069,0.7692456413873319,839,184,89,227,0.9871343977866198
11,0.0004,0.5,0.8446359435493943,0.6038226015958433,0.9021347380094261,0.8279197227371645,0.7234326367274344,0.9396889849669229,0.8112233348729252,0.6038226015958433,0.9667764705882353,0.8650272303732953,10272,2135,353,3254,0.47453471222471116,0.5,0.7393577296489918,0.4684512428298279,0.7753164556962026,0.7282502443792767,0.5840286054827175,0.8294944133041317,0.5674540662226625,0.4684512428298279,0.9129901960784313,0.7517833500377396,745,278,71,245,0.9273974368428008
