pipeline,experiment,n_seeds,auc_mean,auc_std,f1_mean,f1_std,auc_str
nnUNet,classifier_plain,3,0.8824948739956607,0.0049081929441057845,0.6388142367202428,0.008172372427092301,0.8825 ± 0.0049
nnUNet,classifier_roi,3,0.8784007462508643,0.0021196684353579844,0.6155471401709028,0.01635422711658149,0.8784 ± 0.0021
nnUNet,classifier_masked_roi,3,0.8643231290084162,0.008283043435514134,0.6086833231618985,0.0038281731206223388,0.8643 ± 0.0083
nnUNet,conditional_plain,3,0.8802766850249147,0.0011105898807920876,0.6329736819968625,0.006437571938348378,0.8803 ± 0.0011
nnUNet,conditional_roi,3,0.88228387335193,0.003157570096938297,0.6280255582132778,0.00989333444832127,0.8823 ± 0.0032
nnUNet,conditional_masked_roi,3,0.8710639439238967,0.007264801716248027,0.6142018423592699,0.012009002730785466,0.8711 ± 0.0073
Otsu,classifier_plain,3,0.8779127625587105,0.004782679357737364,0.6301514673208083,0.010560430911483424,0.8779 ± 0.0048
Otsu,classifier_roi,3,0.8644513983262999,0.004085296270766313,0.6083911713418816,0.017016902291575077,0.8645 ± 0.0041
Otsu,classifier_masked_roi,3,0.8307385022530577,0.009092802670129355,0.5556563506997781,0.015571471676420912,0.8307 ± 0.0091
Otsu,conditional_plain,3,0.8803503564361156,0.0031702748237911835,0.6316720939988926,0.013773229275832879,0.8804 ± 0.0032
Otsu,conditional_roi,3,0.8641666070619651,0.002413280679727913,0.6086588969347368,0.013385058867512274,0.8642 ± 0.0024
Otsu,conditional_masked_roi,3,0.8256357437474668,0.007698470723545589,0.5668860278490113,0.011380627727224006,0.8256 ± 0.0077
